Index,TestTime_s,Time_from_pulse_on_s,Voltage_V,Current_A
218941,218941.0,-60.0,0.55209686,0.0
218971,218971.0,-30.0,0.55240265,0.0
218991,218991.0,-10.0,0.55255554,0.0
219000,219000.0,-1.0,0.55286133,0.0
219001,219001.0,0.0,0.52962158,-0.00018704224
219031,219031.0,30.0,0.49873718,-0.00018704224
219061,219061.0,60.0,0.47672058,-0.00018704224
219121,219121.0,120.0,0.43972046,-0.00018701172
219181,219181.0,180.0,0.40990631,-0.00018701172
219241,219241.0,240.0,0.38544342,-0.00018704224
219301,219301.0,300.0,0.36679047,-0.00018704224
219361,219361.0,360.0,0.35303009,-0.00018704224
219421,219421.0,420.0,0.34416229,-0.00018701172
219481,219481.0,480.0,0.33865814,-0.00018704224
219541,219541.0,540.0,0.33453003,-0.00018701172
219600,219600.0,599.0,0.33177795,-0.00018704224
219601,219601.0,600.0,0.35318298,0.0
219602,219602.0,601.0,0.35517059,0.0
219603,219603.0,602.0,0.35639374,0.0
219604,219604.0,603.0,0.35761688,0.0
219605,219605.0,604.0,0.35868713,0.0
219606,219606.0,605.0,0.35960449,0.0
219611,219611.0,610.0,0.3638855,0.0
219631,219631.0,630.0,0.37611694,0.0
219661,219661.0,660.0,0.38880707,0.0
219721,219721.0,720.0,0.40608398,0.0
219781,219781.0,780.0,0.418927,0.0
219841,219841.0,840.0,0.42886505,0.0
219901,219901.0,900.0,0.4366626,0.0
219961,219961.0,960.0,0.44400146,0.0
220021,220021.0,1020.0,0.45042297,0.0
220081,220081.0,1080.0,0.45608002,0.0
220141,220141.0,1140.0,0.46112549,0.0
220201,220201.0,1200.0,0.46586517,0.0
220261,220261.0,1260.0,0.47014618,0.0
220321,220321.0,1320.0,0.47396851,0.0
220354,220354.0,1353.0,0.4762619,0.0
220381,220381.0,1380.0,0.47779083,0.0
220441,220441.0,1440.0,0.48115448,0.0
220501,220501.0,1500.0,0.48436523,0.0
220561,220561.0,1560.0,0.4872702,0.0
220621,220621.0,1620.0,0.49002228,0.0
220681,220681.0,1680.0,0.49292725,0.0
220741,220741.0,1740.0,0.49522064,0.0
220801,220801.0,1800.0,0.49766693,0.0
220861,220861.0,1860.0,0.49996033,0.0
220921,220921.0,1920.0,0.50210083,0.0
220981,220981.0,1980.0,0.50424133,0.0
221041,221041.0,2040.0,0.50622894,0.0
221101,221101.0,2100.0,0.50775787,0.0
221161,221161.0,2160.0,0.50974548,0.0
221221,221221.0,2220.0,0.51142731,0.0
221281,221281.0,2280.0,0.51295624,0.0
221341,221341.0,2340.0,0.51479095,0.0
221401,221401.0,2400.0,0.51616699,0.0
221461,221461.0,2460.0,0.51769592,0.0
221521,221521.0,2520.0,0.51907196,0.0
221581,221581.0,2580.0,0.52060089,0.0
221641,221641.0,2640.0,0.52182404,0.0
221701,221701.0,2700.0,0.52304718,0.0
221761,221761.0,2760.0,0.52411743,0.0
221821,221821.0,2820.0,0.52549347,0.0
221881,221881.0,2880.0,0.52671661,0.0
221941,221941.0,2940.0,0.52763397,0.0
222001,222001.0,3000.0,0.52901001,0.0
222061,222061.0,3060.0,0.52962158,0.0
222121,222121.0,3120.0,0.53069183,0.0
222181,222181.0,3180.0,0.53191498,0.0
222241,222241.0,3240.0,0.53283234,0.0
222301,222301.0,3300.0,0.53374969,0.0
222361,222361.0,3360.0,0.53451416,0.0
222421,222421.0,3420.0,0.53558441,0.0
222481,222481.0,3480.0,0.53665466,0.0
222541,222541.0,3540.0,0.53726624,0.0
222601,222601.0,3600.0,0.53818359,0.0
222661,222661.0,3660.0,0.53894806,0.0
222721,222721.0,3720.0,0.53971252,0.0
222781,222781.0,3780.0,0.54062988,0.0
222841,222841.0,3840.0,0.54108856,0.0
222901,222901.0,3900.0,0.54200592,0.0
222961,222961.0,3960.0,0.54277039,0.0
223021,223021.0,4020.0,0.54322906,0.0
223081,223081.0,4080.0,0.54414642,0.0
223141,223141.0,4140.0,0.544758,0.0
223200,223200.0,4199.0,0.54521667,0.0
