rest_time_s,I,Istar,C,O,residual_relaxation_to_3600s_mV,r1,r2,r3,r1_plus_r3
0,0.09481374310916978,0.02853628224820772,0.05832498732131132,0.8183249873213112,24.101097170078738,-4.936917388617679e-05,6.833028942882427e-05,4.936917388617554e-05,-1.2468324983583301e-18
3,0.09446353452814688,0.02859506655354865,0.058470699459152294,0.8184706994591522,24.008196824220757,-4.782144055235471e-05,6.800825784222725e-05,4.782144055235076e-05,-3.950561665994057e-18
10,0.09366705095299671,0.028745502320675173,0.05879372336316412,0.818793723363164,23.794785562521582,-4.455117841742795e-05,6.726875610033873e-05,4.455117841743031e-05,2.3649159887340065e-18
30,0.09152808366481786,0.02925628399124321,0.05960781617196953,0.8196078161719694,23.207399675833774,-3.731096581578997e-05,6.523751939044602e-05,3.731096581579128e-05,1.3145951341386741e-18
60,0.08860937699771766,0.030164991339871168,0.06061281583120563,0.8206128158312056,22.374109593114525,-3.0259270320823762e-05,6.237600760445857e-05,3.0259270320825148e-05,1.3857459017080354e-18
180,0.07898716593985858,0.034281475696007674,0.06336567918206695,0.8233656791820668,19.389371181076893,-1.77525605589024e-05,5.246697805348762e-05,1.7752560558903022e-05,6.2341624917916505e-19
600,0.05860683045849297,0.04735512573538731,0.06701902190305997,0.8270190219030598,11.680830392405584,-2.8579408270168472e-06,2.9631996101521418e-05,2.857940827018582e-06,1.734723475976807e-18
900,0.050937016225762084,0.05441393540666397,0.06732452418378702,0.827324524183787,8.086029711218371,2.6977227427560367e-07,2.0131218138990802e-05,-2.697722742762976e-07,-6.939317420380856e-19
1800,0.04103608519491084,0.06634314609097575,0.0663103843570568,0.8263103843570566,2.570648955901339,1.1379848986886598e-06,6.6718030301171925e-06,-1.137984898690464e-06,-1.8041801776516597e-18
3600,0.0370929718206715,0.07230981086249462,0.06529860865841698,0.8252986086584169,0.0,1.8877597441568916e-07,7.958019595494695e-07,-1.8877597441679938e-07,-1.1102219658339725e-18
