pulse,Capacity_mAh_g,Dapp_ratio_BM_over_HEO,t63_ratio_BM_over_HEO,dEs_ratio_BM_over_HEO,dEtau_ratio_BM_over_HEO
12,200.01129,1.6079099,0.89875173,2.3037815,1.7498208
13,216.67796,1.7131942,0.94326241,2.3542258,1.7323193
14,233.34463,1.9311394,1.0014881,2.4567898,1.7027243
15,250.01129,2.0128716,1.0722135,2.4366192,1.6541038
16,266.67796,1.7816636,1.1526846,2.2343743,1.6122271
17,283.34463,1.6933183,1.2459605,2.1206919,1.5696087
18,300.01129,1.670469,1.3435701,2.0545444,1.531015
19,316.67796,1.683622,1.4467213,2.0208329,1.5
20,333.34604,1.9008142,1.5193133,2.0952377,1.4636816
21,350.01412,2.5491932,1.5579869,2.3636371,1.425813
22,366.6822,2.0601761,1.6187215,2.0882374,1.4012346
23,383.35028,2.045128,1.6420323,2.0344821,1.3701773
24,400.01835,1.4158049,1.6912114,1.6666667,1.3490567
25,416.68643,1.8695744,1.6880952,1.8888865,1.3305084
26,433.35451,2.7091596,1.6541176,2.2272776,1.3032874
27,450.02259,2.5780798,1.6524823,2.1249945,1.2746554
28,466.68926,3.1818867,1.6050808,2.3000039,1.2418506
29,483.35592,2.6561843,1.5894495,2.0454506,1.2087682
30,500.024,2.4087877,1.5505618,1.8947421,1.1758014
31,516.69067,2.3060516,1.4945055,1.8095217,1.1476579
32,533.35733,2.2793205,1.4435146,1.7619061,1.123992
33,550.024,1.7901827,1.4246862,1.5199996,1.0941527
34,566.69067,1.9315805,1.397541,1.5416672,1.0683594
35,583.35733,1.7072932,1.354,1.4166658,1.0442308
36,600.024,1.6192738,1.3120155,1.3461544,1.0188679
37,616.69067,1.225092,1.2843691,1.1481477,0.99907145
38,633.35733,1.707843,1.2331512,1.3333341,0.98264845
39,650.024,1.2946986,1.2024648,1.1379305,0.96319572
40,666.69067,1.5004916,1.1744387,1.2000004,0.94351272
41,683.35733,1.7015742,1.1397671,1.2580633,0.92888124
42,700.024,1.5456945,1.1130856,1.1818185,0.91552903
43,716.69067,1.4038295,1.0957614,1.1111107,0.90319867
44,733.35733,1.6592243,1.0542169,1.1891908,0.88916455
45,750.024,1.8324342,1.0502216,1.2368407,0.88000005
46,766.69067,1.6995835,1.0241821,1.1750015,0.8680611
47,783.35733,1.9904155,1.0110345,1.2619041,0.86146499
48,800.024,1.6430053,1.0026882,1.1399984,0.85657993
